Driver,Post-Bahrain,Post-Jedda,Post-Australia,Post-Imola,Post-Miami,Post-Spain,Post-Monaco,Post-Baku,Post-Canada,Post-Silverstone,Post Austria,Post-French GP,Post-Hungarian GP,Post-Belgian GP,Post-Dutch GP,Post-Monza,Post-Singapore,Post-Japan,Post-USGP,Post-Mexico,Post-Brazil,Post-Abu Dhabi
Lewis Hamilton,118287,248671,431176,617665,828141,970601,1114676,1376123,1491601,1748910,1875405,2009318,2173881,2512983,2593081,2608427,2888900,2967571,3080079,3121746,3413024,3541463
George Russell,69163,121118,200351,269373,318041,352464,393824,431704,459853,519591,567149,593635,678244,750524,772705,792211,823128,838472,848053,857320,932113,996417
Max Verstappen,66860,158356,254838,333606,446716,532826,596628,674195,734479,805570,870787,917329,1009310,1114746,1168058,1210343,1279194,1367217,1428450,1479720,1466803,1424953
Sergio Perez,37366,131737,229885,298713,431083,520146,710316,891595,943777,1017032,1077919,1126339,1187966,1273465,1293097,1312613,1388109,1438041,1484486,1588742,1692862,1804923
Charles Leclerc,251724,446578,675621,889431,1064380,1214749,1368299,1539510,1616412,1746560,1906532,2041010,2211689,2479260,2524503,2597721,2737360,2803614,2892768,2971421,3075996,3200385
Carlos Sainz,125515,245785,348034,436930,526119,583950,637702,713308,753803,888184,1060200,1150188,1265115,1400307,1467538,1500929,1560271,1596527,1645755,1695802,1761443,1823134
Lando Norris,56963,100068,159387,222370,320633,357572,385853,418335,439432,490477,538686,588905,671650,741838,760050,770888,793941,822193,841903,861441,907221,955259
Daniel Ricciardo,57392,110318,219043,299560,399045,460446,495916,557440,597323,670017,711750,742079,794627,899081,917605,935752,971790,1007076,1044634,1069666,1110398,1164606
Lance Stroll,9564,16741,23658,29195,36116,38466,40212,42604,45273,51425,55540,58532,65231,74792,76664,80362,84202,90320,97159,103364,109844,124542
Sebastian Vettel,0,0,0,0,0,0,0,0,0,0,0,0,2116231,2218149,2224722,2229789,2246570,2273829,2302684,2324081,2349821,2554123
Esteban Ocon,15315,36881,58700,76176,92605,105934,118746,133911,144930,164847,184401,200018,229953,259636,267110,274748,290200,312225,337758,349998,364497,387106
Fernando Alonso,25457,50521,90832,132057,182100,226368,254065,299386,359445,413836,447787,464423,519451,601409,625100,640995,675098,705658,738293,762651,779755,815039
Yuki Tsunoda,20410,44891,65071,89104,118285,135812,145666,161754,177750,204866,219935,234002,258433,286825,295533,301676,315451,344271,364220,377584,397425,421607
Pierre Gasly,36759,76622,125343,181934,239179,269699,296779,364721,431750,482222,515995,556475,606213,670584,685498,698662,740830,788802,818893,845623,871174,907962
Mick Schumacher,30919,178841,229234,255998,279118,298135,315911,334010,349510,386189,469135,519551,581586,638083,651070,661220,680151,703325,717621,724775,737113,781975
Kevin Magnussen,73967,115147,137352,159384,176856,188260,195018,203174,209782,221651,231203,239745,261619,293101,298499,304942,313420,323150,333399,341211,401169,424558
Valtteri Bottas,39224,80882,151537,180820,222164,263401,304810,326081,337644,361939,381165,393808,426245,462794,469822,474609,485316,497431,503981,521435,540524,560628
Zhou Guanyu,54148,84786,100953,113723,128839,137534,145212,154189,166496,297194,350415,361936,380480,404462,410028,415898,435034,446708,460229,469858,480830,505487
Nicholas Latifi,11029,23206,33916,40194,45783,49776,52223,54781,58404,70899,78321,84563,99655,118568,122694,127340,134225,139370,143767,147311,151046,163444
Alex Albon,16853,37383,61221,85745,105529,125368,132715,141254,147954,187053,203117,214175,231891,284640,295111,307486,326098,337176,347628,353828,363052,378979
